Time,Name,Address / Platform,Region,Town
"Sunday, 9:00 AM",Our Sunday Step Group,115 Leonardo Da Vinci Street,Copiague,Babylon
"Sunday, 10:00 AM",Genesis 2 Group,100 Park Boulevard,Massapequa Park,Babylon
"Sunday, 10:00 AM",New Life Group Amityville,48 Cedar Road,Amityville,Babylon
"Sunday, 11:30 AM",Steps into the Hugs Group,189 Burr Road,East Northport,Babylon
"Sunday, 1:00 PM",New Awakenings Group,141 Wolf Hill Road,Huntington Station,Babylon
"Sunday, 2:00 PM",Old School Recovery Group,20 Simmons Street,Copiague,Babylon
"Sunday, 3:00 PM",Time Doesnt Matter Group,2 Monroe Street,Amityville,Babylon
"Sunday, 5:00 PM",Back to Basics Group Roosevelt,189 Babylon Turnpike,Roosevelt,Babylon
"Sunday, 5:00 PM",Surrender on Sunday Group,48 Cedar Road,Amityville,Babylon
"Sunday, 7:00 PM",HOW We Live Group,1140 Locust Avenue,Bohemia,Babylon
"Sunday, 7:30 PM",Sicker Than Most Group,107 East Main Street,Bay Shore,Babylon
"Sunday, 7:30 PM",One Flight Up Group,107 East Main Street,Bay Shore,Babylon
"Sunday, 8:00 PM",Blue Print to Recovery Group,95 Stewart Avenue,Hicksville,Babylon
"Sunday, 8:00 PM",No Matter What Group Hempstead,436 South Franklin Street,Hempstead,Babylon
"Sunday, 8:30 PM",Surf City Group,2701 Oceanside Road,Oceanside,Babylon
"Monday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Babylon
"Monday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Babylon
"Monday, 6:30 PM",Living Clean Group Hicksville,95 Stewart Avenue,Hicksville,Babylon
"Monday, 7:00 PM",Day One Group,Online80 Hicksville Road,Seaford,Babylon
"Monday, 7:30 PM",Recovery By The Book Group,196 West Centennial Avenue,Roosevelt,Babylon
"Monday, 8:00 PM",Just Care Group,95 Stewart Avenue,Hicksville,Babylon
"Monday, 8:00 PM",Sick Not Twisted Group,Online39 North Carl Avenue,Babylon,Babylon
"Monday, 8:30 PM",KISS Group Bohemia,1140 Locust Avenue,Bohemia,Babylon
"Tuesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Babylon
"Tuesday, 1:00 PM",Daysteppers Group,95 Stewart Avenue,Hicksville,Babylon
"Tuesday, 6:30 PM",New Attitudes Group Bay Shore,107 East Main Street,Bay Shore,Babylon
"Tuesday, 6:30 PM",New Beginnings Group Amityville,2 Monroe Street,Amityville,Babylon
"Tuesday, 7:00 PM",Simply Women Group,Online48 Greene Avenue,Sayville,Babylon
"Tuesday, 7:00 PM",Your Basic Step Group,Pulaski Road at New York Avenue,Huntington Station,Babylon
"Tuesday, 7:30 PM",Boys To Men Group Levittown,Online3100 Hempstead Turnpike,Levittown,Babylon
"Tuesday, 7:30 PM",Step In Time Group,111 Nassau Avenue,Islip,Babylon
"Tuesday, 8:00 PM",Tonights The Night Group,485 Conklin Street,Farmingdale,Babylon
"Wednesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Babylon
"Wednesday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Babylon
"Wednesday, 6:30 PM",Women on Wednesday New Beginnings Group,196 West Centennial Avenue,Roosevelt,Babylon
"Wednesday, 7:30 PM",Hope on the Rise Group,80 Leaf Avenue,Central Islip,Babylon
"Wednesday, 7:30 PM",New Kind of Freedom Group,21 James Street,Babylon,Babylon
"Wednesday, 8:00 PM",Basically Genesis Group,100 Park Boulevard,Massapequa Park,Babylon
"Wednesday, 8:00 PM",Mid Island Connection Group,Online474 Wantagh Avenue,Levittown,Babylon
"Wednesday, 8:00 PM",Living Clean In Babylon Group,39 North Carl Avenue,Babylon,Babylon
"Wednesday, 8:00 PM",Open Minded Men Group,1140 Locust Avenue,Bohemia,Babylon
"Thursday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Babylon
"Thursday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Babylon
"Thursday, 7:30 PM",Recovery in Paradise Group,Midway at Ocean Breeze,Ocean Beach,Babylon
"Thursday, 7:30 PM",Women Living the Message Group,486 Town Line Road,Commack,Babylon
"Thursday, 7:30 PM",Alive Again Group,340 Elmore Street,Central Islip,Babylon
"Thursday, 7:30 PM",We Do Recover Group Amityville,3504 Great Neck Road,Amityville,Babylon
"Thursday, 8:00 PM",Merrick Sunrise Group,2101 William Place,Merrick,Babylon
"Thursday, 8:00 PM",New Connection Group,95 Stewart Avenue,Hicksville,Babylon
"Thursday, 8:00 PM",Strictly The Steps Group,Online210 South Wellwood Avenue,Lindenhurst,Babylon
"Thursday, 9:00 PM",Gift Of Life Group,107 East Main Street,Bay Shore,Babylon
"Saturday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Babylon
"Saturday, 1:00 PM",Daystar Group,95 Stewart Avenue,Hicksville,Babylon
"Saturday, 6:30 PM",Pamphlets To Freedom Group,1140 Locust Avenue,Bohemia,Babylon
"Saturday, 7:00 PM",Students of Recovery Group,159 Brightside Avenue,Central Islip,Babylon
"Saturday, 7:30 PM",Coffee Group,196 West Centennial Avenue,Roosevelt,Babylon
"Saturday, 7:30 PM",Our Primary Purpose Group Amityville,25 Broadway,Amityville,Babylon
