PROVIDER_NAME,PROVIDER_NUMBER,PROVIDER_STREET,PROVIDER_CITY,PROVIDER_COUNTY,PROVIDER_STATE,PROVIDER_ZIP_CODE,PROVIDER_ZIP_CODE_PLUS_4,PROGRAM_NAME,PROGRAM_NUMBER,PROGRAM_COUNTY,PROGRAM_STREET_ADDRESS,PROGRAM_CITY,PROGRAM_STATE,PROGRAM_ZIP_CODE,PROGRAM_ZIP_CODE_PLUS_4,PROGRAM_DIRECTOR,PROGRAM_DIRECTOR_EMAIL,PROGRAM_DIRECTOR_TELEPHONE,PROGRAM_DIRECTOR_PHONE_EXTENSION,PROGRAM_TYPE,SERVICE_TYPE,ADMISSION_PHONE,ADMISSION_PHONE_EXT,TELEHEALTH_SERVICES,ADOLESCENT_DESIGNATION,PROBLEM_GAMBLING,INTEGRATED_LICENSE_SERVICE,PARENTS_WITH_CHILDREN,LGBTQ_ENDORSEMNT,ADDITIONAL_LOCATION_STREET,ADDITIONAL_LOCATION_CITY,ADDITIONAL_LOCATION_ZIP,ADDITIONAL_LOCATION_COUNTYNAME,Latitude,Longitude
"820 River St., Inc.",35210,428 Duane Ave,Schenectady,Schenectady,NY,12304,,Eleanor R.Young Memorial Clinc OP,51423,Albany,134 Franklin St,Albany,NY,12202,1902.0,Ms. Jackie Foster CASAC,jackief@pyhit.org,5184658034,,Outpatient Services,Outpatient Clinic,5184658034.0,,Y,,,,,,,,,,42.797974,-73.928765
"Addictions Care Center of Albany, Inc.",35090,90 McCarty Ave,Albany,Albany,NY,12202,1151.0,Addictions Care Center of Albany OP,50113,Albany,1044 Broadway,Menands,NY,12204,2585.0,Ms. Katherine J Maloney CASAC,kmaloney@theacca.net,5184342367,121.0,Outpatient Services,Outpatient Clinic,5184342367.0,,Y,,,,,,,,,,42.634049,-73.768943
Albany County Dept. of Mental Health,70520,260 South Pearl Street,Albany,Albany,NY,12202,2094.0,Albany County Alc and SA Clinic OP,1865,Albany,260 S Pearl St,Albany,NY,12202,1809.0,Ms. Laura Isabelle LCSW,laura.isabelle@albanycountyny.gov,5184474551,4530.0,Outpatient Services,Outpatient Clinic,5184474551.0,,Y,,,OMH Hosted,,,,,,,42.64193,-73.755844
"Bright Heart Health New York, Inc.",51400,2960 Camino Diablo,Walnut Creek,Out of State,CA,94597,,"Bright Heart Health New York, Inc TpOP",53497,Albany,90 State St,Albany,NY,12207,1715.0,Edward March,emarch@brighthearthealth.com,8008922695,,Outpatient Services,Telepractice Only OP Clinic,,,Y,,,,,,,,,,37.899063,-122.084518
"Equinox, Inc.",14510,500 Central Ave,Albany,Albany,NY,12206,,Counseling Center OP,52689,Albany,500 Central Ave,Albany,NY,12206,2213.0,Mrs. Joanna Terrelonge,jterrelonge@equinoxinc.org,5184359931,5229.0,Outpatient Services,Outpatient Clinic,5184359931.0,5217.0,Y,,,,,,,,,,42.669523,-73.778496
"Fusion Recovery Centers, LLC",52980,444 Broadway,Menands,Albany,NY,12204,,"Fusion Recovery Centers, LLC OP",53808,Albany,444 Broadway,Menands,NY,12204,,Mitchell Baumann,mitch@fusionrecovery.com,4073885515,,Outpatient Services,Outpatient Clinic,,,,,,,,,,,,,42.701312,-73.717527
"Hope House, Inc.",35300,2 Holland Ave,Albany,Albany,NY,12209,,Bette Center RRi,53671,Albany,261 N Pearl St,Albany,NY,12207,1201.0,Csiko Sawyer CASAC,csawyer@hopehouseinc.org,5184652441,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,42.645684,-73.772009
"Hospitality House T.C., Inc",170,271 Central Ave,Albany,Albany,NY,12206,,"Hospitality House T.C., Inc. SRh",53452,Albany,271 Central Ave,Albany,NY,12206,2611.0,Ms. Linda Smith,lsmith@hospitalityhouse.info,5184346468,118.0,Residential Services,820 Stabil and Rehab,,,,,,,,,,,,,42.663715,-73.770836
LaSalle School,12400,391 Western Ave,Albany,Albany,NY,12203,,La Salle School OP,5469,Albany,391 Western Ave,Albany,NY,12203,1401.0,Dina McManus,dmcmanus@lasalle-school.org,5182424731,228.0,Outpatient Services,Outpatient Clinic,5182424731.0,228.0,,,,OMH Hosted,,,,,,,42.664435,-73.783585
Pearl Street Counseling Center,651,109 State St,Albany,Albany,NY,12207,1642.0,Pearl St Counseling Center OP,1694,Albany,109 State St,Albany,NY,12207,1642.0,Mr. Guy Kuperman,Guyk@pearlcounseling.org,5184624320,,Outpatient Services,Outpatient Clinic,5184624320.0,,Y,,,,,,,,,,42.651147,-73.75439
