Time,Name,Address / Platform,Region,Town,Updated_URL
"Sunday, 9:00 AM",our-sunday-step-group,115 Leonardo Da Vinci Street,Copiague,Babylon,https://www.narcotics.com/na-meeting/our-sunday-step-group
"Sunday, 10:00 AM",genesis-2-group,100 Park Boulevard,Massapequa Park,Babylon,https://www.narcotics.com/na-meeting/genesis-2-group
"Sunday, 10:00 AM",new-life-group-amityville,48 Cedar Road,Amityville,Babylon,https://www.narcotics.com/na-meeting/new-life-group-amityville
"Sunday, 11:30 AM",steps-into-the-hugs-group,189 Burr Road,East Northport,Babylon,https://www.narcotics.com/na-meeting/steps-into-the-hugs-group
"Sunday, 1:00 PM",new-awakenings-group,141 Wolf Hill Road,Huntington Station,Babylon,https://www.narcotics.com/na-meeting/new-awakenings-group
"Sunday, 2:00 PM",old-school-recovery-group,20 Simmons Street,Copiague,Babylon,https://www.narcotics.com/na-meeting/old-school-recovery-group
"Sunday, 3:00 PM",time-doesnt-matter-group,2 Monroe Street,Amityville,Babylon,https://www.narcotics.com/na-meeting/time-doesnt-matter-group
"Sunday, 5:00 PM",back-to-basics-group-roosevelt,189 Babylon Turnpike,Roosevelt,Babylon,https://www.narcotics.com/na-meeting/back-to-basics-group-roosevelt
"Sunday, 5:00 PM",surrender-on-sunday-group,48 Cedar Road,Amityville,Babylon,https://www.narcotics.com/na-meeting/surrender-on-sunday-group
"Sunday, 7:00 PM",how-we-live-group,1140 Locust Avenue,Bohemia,Babylon,https://www.narcotics.com/na-meeting/how-we-live-group
"Sunday, 7:30 PM",sicker-than-most-group,107 East Main Street,Bay Shore,Babylon,https://www.narcotics.com/na-meeting/sicker-than-most-group
"Sunday, 7:30 PM",one-flight-up-group,107 East Main Street,Bay Shore,Babylon,https://www.narcotics.com/na-meeting/one-flight-up-group
"Sunday, 8:00 PM",blue-print-to-recovery-group,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/blue-print-to-recovery-group
"Sunday, 8:00 PM",no-matter-what-group-hempstead,436 South Franklin Street,Hempstead,Babylon,https://www.narcotics.com/na-meeting/no-matter-what-group-hempstead
"Sunday, 8:30 PM",surf-city-group,2701 Oceanside Road,Oceanside,Babylon,https://www.narcotics.com/na-meeting/surf-city-group
"Monday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Babylon,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Monday, 1:00 PM",hope-in-hicksville-group,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/hope-in-hicksville-group
"Monday, 6:30 PM",living-clean-group-hicksville,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/living-clean-group-hicksville
"Monday, 7:00 PM",day-one-group,Online80 Hicksville Road,Seaford,Babylon,https://www.narcotics.com/na-meeting/day-one-group
"Monday, 7:30 PM",recovery-by-the-book-group,196 West Centennial Avenue,Roosevelt,Babylon,https://www.narcotics.com/na-meeting/recovery-by-the-book-group
"Monday, 8:00 PM",just-care-group,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/just-care-group
"Monday, 8:00 PM",sick-not-twisted-group,Online39 North Carl Avenue,Babylon,Babylon,https://www.narcotics.com/na-meeting/sick-not-twisted-group
"Monday, 8:30 PM",kiss-group-bohemia,1140 Locust Avenue,Bohemia,Babylon,https://www.narcotics.com/na-meeting/kiss-group-bohemia
"Tuesday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Babylon,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Tuesday, 1:00 PM",daysteppers-group,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/daysteppers-group
"Tuesday, 6:30 PM",new-attitudes-group-bay-shore,107 East Main Street,Bay Shore,Babylon,https://www.narcotics.com/na-meeting/new-attitudes-group-bay-shore
"Tuesday, 6:30 PM",new-beginnings-group-amityville,2 Monroe Street,Amityville,Babylon,https://www.narcotics.com/na-meeting/new-beginnings-group-amityville
"Tuesday, 7:00 PM",simply-women-group,Online48 Greene Avenue,Sayville,Babylon,https://www.narcotics.com/na-meeting/simply-women-group
"Tuesday, 7:00 PM",your-basic-step-group,Pulaski Road at New York Avenue,Huntington Station,Babylon,https://www.narcotics.com/na-meeting/your-basic-step-group
"Tuesday, 7:30 PM",boys-to-men-group-levittown,Online3100 Hempstead Turnpike,Levittown,Babylon,https://www.narcotics.com/na-meeting/boys-to-men-group-levittown
"Tuesday, 7:30 PM",step-in-time-group,111 Nassau Avenue,Islip,Babylon,https://www.narcotics.com/na-meeting/step-in-time-group
"Tuesday, 8:00 PM",tonights-the-night-group,485 Conklin Street,Farmingdale,Babylon,https://www.narcotics.com/na-meeting/tonights-the-night-group
"Wednesday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Babylon,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Wednesday, 1:00 PM",hope-in-hicksville-group,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/hope-in-hicksville-group
"Wednesday, 6:30 PM",women-on-wednesday-new-beginnings-group,196 West Centennial Avenue,Roosevelt,Babylon,https://www.narcotics.com/na-meeting/women-on-wednesday-new-beginnings-group
"Wednesday, 7:30 PM",hope-on-the-rise-group,80 Leaf Avenue,Central Islip,Babylon,https://www.narcotics.com/na-meeting/hope-on-the-rise-group
"Wednesday, 7:30 PM",new-kind-of-freedom-group,21 James Street,Babylon,Babylon,https://www.narcotics.com/na-meeting/new-kind-of-freedom-group
"Wednesday, 8:00 PM",basically-genesis-group,100 Park Boulevard,Massapequa Park,Babylon,https://www.narcotics.com/na-meeting/basically-genesis-group
"Wednesday, 8:00 PM",mid-island-connection-group,Online474 Wantagh Avenue,Levittown,Babylon,https://www.narcotics.com/na-meeting/mid-island-connection-group
"Wednesday, 8:00 PM",living-clean-in-babylon-group,39 North Carl Avenue,Babylon,Babylon,https://www.narcotics.com/na-meeting/living-clean-in-babylon-group
"Wednesday, 8:00 PM",open-minded-men-group,1140 Locust Avenue,Bohemia,Babylon,https://www.narcotics.com/na-meeting/open-minded-men-group
"Thursday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Babylon,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Thursday, 1:00 PM",hope-in-hicksville-group,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/hope-in-hicksville-group
"Thursday, 7:30 PM",recovery-in-paradise-group,Midway at Ocean Breeze,Ocean Beach,Babylon,https://www.narcotics.com/na-meeting/recovery-in-paradise-group
"Thursday, 7:30 PM",women-living-the-message-group,486 Town Line Road,Commack,Babylon,https://www.narcotics.com/na-meeting/women-living-the-message-group
"Thursday, 7:30 PM",alive-again-group,340 Elmore Street,Central Islip,Babylon,https://www.narcotics.com/na-meeting/alive-again-group
"Thursday, 7:30 PM",we-do-recover-group-amityville,3504 Great Neck Road,Amityville,Babylon,https://www.narcotics.com/na-meeting/we-do-recover-group-amityville
"Thursday, 8:00 PM",merrick-sunrise-group,2101 William Place,Merrick,Babylon,https://www.narcotics.com/na-meeting/merrick-sunrise-group
"Thursday, 8:00 PM",new-connection-group,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/new-connection-group
"Thursday, 8:00 PM",strictly-the-steps-group,Online210 South Wellwood Avenue,Lindenhurst,Babylon,https://www.narcotics.com/na-meeting/strictly-the-steps-group
"Thursday, 9:00 PM",gift-of-life-group,107 East Main Street,Bay Shore,Babylon,https://www.narcotics.com/na-meeting/gift-of-life-group
"Saturday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Babylon,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Saturday, 1:00 PM",daystar-group,95 Stewart Avenue,Hicksville,Babylon,https://www.narcotics.com/na-meeting/daystar-group
"Saturday, 6:30 PM",pamphlets-to-freedom-group,1140 Locust Avenue,Bohemia,Babylon,https://www.narcotics.com/na-meeting/pamphlets-to-freedom-group
"Saturday, 7:00 PM",students-of-recovery-group,159 Brightside Avenue,Central Islip,Babylon,https://www.narcotics.com/na-meeting/students-of-recovery-group
"Saturday, 7:30 PM",coffee-group,196 West Centennial Avenue,Roosevelt,Babylon,https://www.narcotics.com/na-meeting/coffee-group
"Saturday, 7:30 PM",our-primary-purpose-group-amityville,25 Broadway,Amityville,Babylon,https://www.narcotics.com/na-meeting/our-primary-purpose-group-amityville
"Saturday, 8:00 PM",free-on-friday-group,220 Central Avenue,Bethpage,Babylon,https://www.narcotics.com/na-meeting/free-on-friday-group
"Saturday, 11:59 PM",midnight-hope-group,107 East Main Street,Bay Shore,Babylon,https://www.narcotics.com/na-meeting/midnight-hope-group
"Sunday, 7:00 AM",hope-by-the-harbor-group,99 Ketcham Street,Northport,Islip,https://www.narcotics.com/na-meeting/hope-by-the-harbor-group
"Sunday, 9:00 AM",choose-your-weapon-group,240 Main Street,Huntington,Islip,https://www.narcotics.com/na-meeting/choose-your-weapon-group
"Sunday, 9:00 AM",our-sunday-step-group,115 Leonardo Da Vinci Street,Copiague,Islip,https://www.narcotics.com/na-meeting/our-sunday-step-group
"Sunday, 10:00 AM",new-life-group-amityville,48 Cedar Road,Amityville,Islip,https://www.narcotics.com/na-meeting/new-life-group-amityville
"Sunday, 11:00 AM",serenity-in-sayville-group,131 Middle Road,Sayville,Islip,https://www.narcotics.com/na-meeting/serenity-in-sayville-group
"Sunday, 11:30 AM",steps-into-the-hugs-group,189 Burr Road,East Northport,Islip,https://www.narcotics.com/na-meeting/steps-into-the-hugs-group
"Sunday, 1:00 PM",new-awakenings-group,141 Wolf Hill Road,Huntington Station,Islip,https://www.narcotics.com/na-meeting/new-awakenings-group
"Sunday, 2:00 PM",old-school-recovery-group,20 Simmons Street,Copiague,Islip,https://www.narcotics.com/na-meeting/old-school-recovery-group
"Sunday, 3:00 PM",time-doesnt-matter-group,2 Monroe Street,Amityville,Islip,https://www.narcotics.com/na-meeting/time-doesnt-matter-group
"Sunday, 5:00 PM",surrender-on-sunday-group,48 Cedar Road,Amityville,Islip,https://www.narcotics.com/na-meeting/surrender-on-sunday-group
"Sunday, 6:00 PM",its-a-spiritual-solution-group,130 Main Street,Northport,Islip,https://www.narcotics.com/na-meeting/its-a-spiritual-solution-group
"Sunday, 7:00 PM",never-again-group-huntington,240 Main Street,Huntington,Islip,https://www.narcotics.com/na-meeting/never-again-group-huntington
"Sunday, 7:00 PM",just-for-today-group-bellport,185 South Country Road,Bellport,Islip,https://www.narcotics.com/na-meeting/just-for-today-group-bellport
"Sunday, 7:00 PM",how-we-live-group,1140 Locust Avenue,Bohemia,Islip,https://www.narcotics.com/na-meeting/how-we-live-group
"Sunday, 7:30 PM",sicker-than-most-group,107 East Main Street,Bay Shore,Islip,https://www.narcotics.com/na-meeting/sicker-than-most-group
"Sunday, 7:30 PM",one-flight-up-group,107 East Main Street,Bay Shore,Islip,https://www.narcotics.com/na-meeting/one-flight-up-group
"Sunday, 8:00 PM",saturday-night-alive-group,Online425 Hawkins Road,Selden,Islip,https://www.narcotics.com/na-meeting/saturday-night-alive-group
"Monday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Islip,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Monday, 7:15 PM",recovery-doesnt-stop-group,1101 Lakeland Avenue,Bohemia,Islip,https://www.narcotics.com/na-meeting/recovery-doesnt-stop-group
